"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04640","Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","72/3810","99/8645",5.96087966147211e-09,2.01477732557757e-06,1.22982359331425e-06,"909/1435/913/911/1438/910/3563/3675/7037/931/2056/912/929/1436/1379/2208/966/951/1380/3815/3674/2323/3590/3115/4254/3112/3111/3119/3127/930/3553/3108/916/3690/3568/924/945/3123/947/960/926/915/4311/3575/3113/3122/3570/3589/3684/7850/921/1378/2811/920/3655/290/1437/3552/1440/100133941/3569/948/3566/933/3109/3117/925/7124/914/917/3672/2322",72
"hsa05171","Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","143/3810","232/8645",3.77866684854217e-08,6.38594697403626e-06,3.89799317007508e-06,"6143/9349/2266/6125/5648/2244/6135/718/730/6191/6136/6122/6154/6230/6203/6160/5336/6194/6233/4736/4790/5293/6202/5582/6176/114548/6206/6147/6124/29110/6403/6146/6144/5601/715/2243/6139/3455/6164/5578/2353/9045/720/5610/6157/6152/6207/6134/23521/6161/7187/834/103/4940/1839/7450/6141/5579/6181/716/6223/6137/1147/3725/6138/733/5295/6218/6165/3553/6158/729/5335/25873/6205/51121/6142/6222/1432/5594/4792/6228/9641/7098/6128/6188/3570/3654/6159/4938/6772/7297/10747/6130/732/4939/6201/6235/6175/6168/51065/6209/6210/7132/6167/1437/6189/6171/6204/1440/10379/3569/6187/6169/712/629/11224/5290/7311/1536/4599/6208/1956/6774/6229/1675/3921/7124/4312/2197/727/6232/6155/5600/5602/59272/2212/6868/51311/1636/6217/713/2162",143
"hsa04659","Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","73/3810","108/8645",6.00452668659837e-07,5.21813141713423e-05,3.18515651746593e-05,"5914/4772/3320/3326/4790/9466/5601/7048/10148/2353/3717/5533/7046/3460/6778/3115/3112/4794/3111/919/3119/1147/3725/7535/3560/3127/27040/3718/3553/3108/916/3594/5335/51561/3932/3123/1432/5594/4792/196/915/3113/6776/3122/3570/6772/7297/3561/7040/920/6095/3091/30009/3459/5534/4773/3569/3566/3109/4089/3117/246778/4775/5532/6774/149233/861/5588/917/3458/5600/5602/6256",73
"hsa04010","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","174/3810","301/8645",7.69277612495176e-07,5.21813141713423e-05,3.18515651746593e-05,"2064/55799/782/4763/51701/4772/2264/57551/5321/4915/6722/2255/1435/5971/8913/4908/9064/2872/836/1845/773/3310/10235/2254/6788/4804/4790/22808/2885/5582/4909/27092/3479/8681/5601/4902/4791/5155/3312/7048/5881/5578/929/2353/786/1436/1647/5533/55970/3815/7046/51378/2247/3481/2323/84867/5536/2252/775/59285/6196/355/80310/4208/4254/8491/8912/115727/5880/1849/1969/7042/2263/5579/2318/1326/11184/5154/3164/1147/8822/4803/3725/7157/1942/1844/1846/8817/10912/3082/8550/783/5609/3553/26281/2324/11221/4215/6195/1432/5594/27330/284/5607/4296/1399/627/994/6416/23162/3654/3303/5778/7040/5062/408/9020/3305/7132/778/1843/776/3845/3552/56034/5534/4149/7423/2316/283748/93589/5058/4775/5532/8986/7010/6789/1956/10746/2261/784/2246/8605/7124/25780/4214/777/998/7039/409/5979/5801/3265/774/5605/5494/781/23542/5600/5921/5602/3643/2322/4893/1945/4616/5879/5604/6237/6197/1616/3727/5566/3315",174
"hsa05120","Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","51/3810","70/8645",9.1495006695115e-07,5.21813141713423e-05,3.18515651746593e-05,"28964/528/535/51606/836/5781/2920/10392/5336/4790/529/2919/5601/58494/2921/5803/3579/1839/537/1147/3725/50617/5335/1432/4792/245972/1445/6416/102/9020/83700/50848/6714/4067/523/9550/533/5058/1956/9114/525/3577/998/23545/6352/5600/534/5602/6868/526/5879",51
"hsa04390","Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","99/3810","157/8645",1.06510327362391e-06,5.21813141713423e-05,3.18515651746593e-05,"8200/7481/7534/1742/653/3993/7529/999/11211/83439/11186/650/6934/1453/6788/1495/330/7532/51176/1741/60485/8324/7484/6932/8321/7048/79981/2932/23291/80326/7046/126374/71/656/8326/7042/324/10413/2736/7531/5515/1855/51384/10971/353500/5522/5501/5584/894/896/25937/5521/8945/5590/5520/84552/5516/8323/5054/7473/122786/7040/1499/286204/595/81029/3689/1740/7474/84612/8325/3398/7004/3397/23513/1496/85407/332/8463/4089/1856/4086/7855/1454/8312/6657/2246/1739/2535/3996/27113/89780/7479/7005/56288/5499/4092/7533/7477",99
"hsa04310","Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","108/3810","174/8645",1.08067810414023e-06,5.21813141713423e-05,3.18515651746593e-05,"51701/7481/4772/164284/6425/4163/6422/84870/11211/83439/54894/147495/6934/7091/4316/29964/64321/5582/51176/59352/5601/8324/7484/6932/8321/5881/5578/1457/84445/2932/23291/284654/5533/80326/8549/27101/5880/8326/57680/324/5579/7089/4919/3725/7157/11197/1855/51384/23002/8061/4040/5330/79718/57216/4920/894/23236/2487/818/896/6424/27123/8945/1501/387/8607/23500/8323/816/7473/1499/595/81029/6259/7474/8325/81839/4041/5534/4773/85407/343637/4089/1856/166336/4775/5532/6477/7855/1454/8312/27130/5332/5663/6500/2535/89780/55366/7479/5602/1452/64840/1459/5879/815/7477/84133/5566",108
"hsa04014","Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","139/3810","236/8645",2.48137183157872e-06,0.000104837959884201,6.39932735512406e-05,"4763/5878/2785/2264/5321/4915/2788/2255/1435/5338/53358/4908/11186/5063/810/5781/10235/57148/2254/5336/4804/3363/4790/22808/5293/2885/5582/4909/29110/3479/8681/5601/55770/4303/5155/64926/5898/5881/5578/1436/55970/3815/23179/91860/51378/2247/3481/2323/2252/22821/8831/2791/80310/4254/2114/115727/5880/1969/2263/5579/54331/8399/598/5154/1147/8822/4803/10298/1942/8817/5295/7535/83593/5319/27040/3082/5320/2113/26281/2324/51196/2784/5335/2549/5594/5868/10156/2903/26279/284/399694/51365/81579/387/627/5322/801/8398/5062/163688/5869/2793/572/3845/56034/7423/2790/283748/5290/5058/9610/8315/7010/6789/1956/2783/2261/2246/8605/25780/10681/25759/998/7039/3265/5605/253959/59345/5921/5602/3643/57186/2322/4893/1945/5879/5604/6237/5566",139
"hsa04658","Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","62/3810","92/8645",4.89951851464179e-06,0.000184004139772103,0.000112316447821028,"4772/4790/28514/5601/2353/3717/5533/3460/6778/3115/864/3112/4794/84441/3111/919/3119/1147/3725/10683/7535/3560/3127/27040/3718/3108/916/3594/5335/3595/3932/3123/1432/5594/4792/4094/915/3113/6776/3122/6772/7297/3561/920/30009/3459/5534/4773/6775/4854/3566/3714/3109/3117/4775/5532/5588/917/182/3458/5600/5602",62
"hsa05134","Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","41/3810","56/8645",8.85595031861097e-06,0.000299331120769051,0.000182712238152395,"1915/718/23786/836/1195/3310/2920/4790/2919/4791/7415/3606/3312/842/929/2921/1379/834/57396/51128/1937/3329/3553/4792/317/3297/9554/3684/3303/1378/3689/3305/664/3569/56681/7100/5861/7124/29108/54205/375",41
"hsa04137","Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","67/3810","103/8645",1.30186655378244e-05,0.000400028086525876,0.000244177841666371,"10241/55288/5878/8678/4077/64750/23786/8878/440738/6233/7942/22808/11337/29110/65018/5601/7415/54543/1965/1457/7879/11331/55669/8408/10370/1869/598/3725/7157/7316/51024/4976/79735/22879/84749/5868/10133/192111/4580/23710/5869/6714/3091/643246/3845/10075/664/64786/79671/23770/7311/665/6477/81631/84557/8887/11345/3265/10452/387990/10651/5602/4893/1459/89941/6237/84315",67
"hsa05166","Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","129/3810","222/8645",1.44801821380248e-05,0.000407858463554365,0.000248957517460777,"996/4772/6722/9134/7416/5971/4085/4316/196883/1959/4790/5293/2648/3383/1958/821/8900/10393/5601/4791/51529/51434/7048/9700/2353/64784/8697/5533/7046/83660/1029/23373/115650/958/890/3600/3115/2114/3112/7042/1869/7538/598/3111/7514/701/109/3119/1147/3135/3725/7157/3601/5295/3560/291/3127/8061/3718/148327/2113/3108/5901/916/4215/3932/3123/894/5594/4792/9586/896/915/2224/3113/6776/6416/3122/3561/7040/7850/293/595/920/3689/9020/6688/7132/1017/3845/1437/7094/5534/4773/3569/3109/4089/5290/3107/3117/4775/5532/10488/64764/8498/7124/84699/9232/4214/7419/1739/6513/917/1031/3265/3133/5605/4487/5602/4893/64682/292/5604/114/3134/4049/9133/5566/119504",129
"hsa04064","Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","67/3810","104/8645",2.09418817896479e-05,0.000544488926530845,0.000332356990345829,"5971/5743/6363/2920/5336/4790/330/3383/4050/2919/3929/7185/4791/929/1457/2921/1647/10913/7128/128178/115650/958/7187/5579/84433/598/1147/10912/6366/7535/27040/3553/29775/5335/959/79092/3932/4792/148022/597/3654/6387/353376/1896/9020/8740/7132/8837/8792/4067/8915/10892/695/142/7706/7412/8600/7124/5588/29760/6357/1459/4616/257397/596/23085/4049",67
"hsa04062","Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","112/3810","192/8645",4.1534325076053e-05,0.000972691691168069,0.000593732704668145,"2785/6374/1524/10563/2185/2788/5580/53358/1235/2869/58191/6363/10235/5747/2920/5336/196883/4790/6358/5293/2885/2919/643/5881/6364/2932/2921/3717/6376/7454/55970/2771/2268/3579/2791/5880/5579/54331/109/1147/6361/6368/6366/5295/3718/1236/5330/1237/5829/9844/2784/5335/5594/4792/6359/23236/3055/399694/1399/5590/3702/653361/131890/387/10850/6846/6360/7409/6772/6387/408/146850/6714/2793/572/4067/3845/2931/6370/7410/2790/10803/5290/5058/23533/2783/6774/1794/2773/3577/7852/5332/6372/10681/25759/6357/998/409/2833/6354/3265/6352/10663/1232/59345/56288/4893/5879/5604/114/6367/5566",112
"hsa04933","Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","64/3810","100/8645",4.31667910281687e-05,0.000972691691168069,0.000593732704668145,"4772/2152/5580/1288/836/5336/4790/5293/3383/1958/5601/5292/7048/5578/3717/7046/7042/5579/3725/5295/3553/5330/51196/5335/177/5581/1285/1432/5594/23236/2308/5590/6776/5054/6772/7056/7040/595/1287/3845/3552/3569/2335/7423/27035/5333/4089/5290/1536/7412/6774/113026/7124/5332/998/3265/1729/84812/5600/5602/6401/4893/5879/596",64
"hsa04060","Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","164/3810","297/8645",5.62652835142107e-05,0.00107446799070011,0.000655857135400874,"8200/27190/6374/85480/8742/8764/1524/10563/4982/653/1435/8741/3626/1235/1438/58191/284340/650/6363/3976/2920/1439/2662/146433/8809/4804/6358/3953/90865/4050/3563/9466/7133/2919/84818/53342/2056/3606/643/23495/7048/3455/285613/10148/6364/130399/2921/1436/10913/29949/6376/7046/8718/8795/3952/115650/3977/3460/656/958/3579/4352/355/8793/3590/3600/9235/7042/3597/4803/3601/6361/53833/6368/6366/3603/3560/353500/338376/1236/3553/1237/3594/3595/9173/3568/64806/959/51561/8807/6359/939/5618/3587/2660/9573/3575/10850/3570/3589/6846/6360/8794/3561/7040/7850/6387/1896/920/94/50604/8740/8743/7132/91/970/8792/1437/3459/3552/1440/8808/27242/1270/3569/3557/6370/3566/10803/246778/3624/269/1489/55504/9518/3577/149233/7852/8600/8995/7124/58985/2661/6372/11009/6357/2833/8744/8771/6354/3598/3458/6352/943/10663/7293/1232/23529/10220/3623/9180/6367/4049/8784",164
"hsa04510","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","117/3810","203/8645",5.87694032040269e-05,0.00107446799070011,0.000655857135400874,"2064/3679/3694/1299/1288/1297/53358/857/5063/3914/7148/5649/5747/5293/330/2885/5582/858/3675/340156/4638/8515/3479/5601/284217/3918/7448/1298/5155/22798/5881/5578/2932/4636/3674/83660/4660/71/2534/64098/80310/3913/5880/3680/7450/5579/2318/7059/5154/3725/10298/3381/5295/131873/10319/3082/54776/10398/5501/2324/5829/3690/1285/894/5594/7791/896/3696/63923/87/399694/1399/1101/387/3908/3371/7409/1499/91807/595/5062/23396/1793/3691/1292/6714/572/3655/1287/7060/7094/56034/2013/2335/7423/7410/2316/5290/3611/5058/1956/3695/25759/998/55742/3672/3265/1729/2012/2889/5602/5499/7143/5879/5604/596/22801",117
"hsa04148",NA,NA,"hsa04148","Efferocytosis","93/3810","156/8645",5.9184766646066e-05,0.00107446799070011,0.000655857135400874,"5878/4772/1524/389668/4240/1374/2621/65082/240/5743/5087/836/84465/5781/488/5627/5747/64805/8578/121601/8754/23355/1901/9023/2056/55113/10062/29933/27072/3717/7879/6376/286046/834/23166/1849/1844/1846/5734/9844/3690/140885/177/1432/5594/5868/818/8877/1399/5175/89790/55576/6446/24145/816/7040/5468/8398/102/1793/5869/246/203859/84466/3091/1375/4773/100133941/948/26762/712/114786/51761/4775/5029/55423/63982/1788/4035/1051/56848/6513/5605/5600/489/6868/5777/6256/5879/5604/815/23659/713",93
"hsa04514","Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecules","94/3810","158/8645",6.03990882346213e-05,0.00107446799070011,0.000655857135400874,"22854/57863/1002/999/4359/8174/83692/5010/7122/149461/100506658/94030/3383/6403/9071/58494/9672/5797/22871/958/4684/644672/3115/3112/24146/26047/3680/3384/3111/57555/84631/3119/3135/9378/6382/22829/3127/3108/79679/6402/959/3123/947/1003/926/6693/3385/3696/5175/9075/3113/9076/3122/114798/3684/23705/6900/923/57689/920/3689/83700/50848/90952/3655/152404/9074/5788/6404/933/214/3897/3109/3107/3117/22865/9369/6385/5133/7412/3695/925/23114/940/914/9019/3133/29126/4897/9379/201633/6401/3134/80380",94
"hsa05235","Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","57/3810","89/8645",0.000108517449788659,0.00183394490142834,0.0011194431662409,"6198/4772/5781/4790/5293/2353/1457/3717/5533/3460/4794/55509/919/1147/3725/5295/7535/27040/916/54106/5335/4215/3932/1432/5594/4792/148022/915/238/6772/353376/920/3091/3845/3459/5534/4773/5290/4775/5532/5133/1956/6774/940/5588/917/10538/3265/3458/5605/29126/5600/6199/4893/1459/5777/5604",57
"hsa05323","Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","59/3810","93/8645",0.000122487760276173,0.00197146966539746,0.00120338852201153,"6374/528/535/51606/1435/8741/2920/3383/4050/529/2919/3606/6364/2353/2921/3600/3115/3112/7042/3111/537/3119/3725/3127/50617/3553/3108/51561/3123/284/245972/3113/3122/3589/7040/6387/3689/8792/523/1437/3552/9550/3569/3109/3117/533/7010/9114/525/8600/940/7124/4312/6372/23545/3458/6352/534/526",59
"hsa04916","Organismal Systems","Endocrine system","hsa04916","Melanogenesis","63/3810","101/8645",0.000150329812947788,0.00230961258074329,0.00140979154726155,"7481/11211/83439/810/6934/196883/5443/5582/51176/8324/7484/6932/8321/5578/2932/80326/3815/91860/7306/2771/4254/8326/5579/109/1855/51384/148327/5330/1910/1638/5594/23236/818/8323/816/801/7473/1499/81029/7474/163688/8325/3845/1856/10488/64764/7855/2778/2773/84699/5332/2535/89780/3265/5605/7479/4893/4157/5604/114/815/7477/5566",63
"hsa04145","Cellular Processes","Transport and catabolism","hsa04145","Phagosome","89/3810","152/8645",0.000206900846220253,0.00273103184860198,0.0016670266033198,"5878/528/6441/535/51606/718/113457/821/7037/529/715/55176/929/7879/1783/30835/71/84790/9146/3115/3112/4842/22925/3111/7059/537/11151/3119/3135/79659/10376/112714/3127/50617/4689/347688/84617/3108/3690/1535/3123/5868/4360/245972/653361/9103/3113/79861/3122/203068/9554/3684/3920/2215/1778/3689/8685/83547/10381/5869/2204/4481/523/7278/7060/9550/948/1780/8411/3109/3107/3117/533/653509/1536/9114/525/64581/7277/347733/8417/23545/3133/534/2212/526/2213/5879/3134",89
"hsa04722","Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","72/3810","119/8645",0.000208174517057481,0.00273103184860198,0.0016670266033198,"4915/4916/5580/53358/4908/810/5781/5336/4804/4790/5293/2885/4909/396/5601/11108/10818/11213/2932/91860/6196/4794/3656/4803/3725/7157/7531/5295/5609/4145/5335/4215/2549/6195/1432/5594/4792/27330/818/5607/399694/1399/25970/387/627/3654/816/801/5664/397/163688/814/572/3845/10019/5290/10603/5663/4214/25759/998/3265/5605/5600/2889/5602/4893/5879/5604/815/596/6197",72
"hsa04921","Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","90/3810","154/8645",0.000209495903465577,0.00273103184860198,0.0016670266033198,"55799/782/4772/8536/6263/5321/3768/5743/5571/810/4881/196883/5582/340156/1938/27092/4638/8681/51422/2977/5578/2353/140465/786/6262/5533/91860/4660/71/2771/775/59285/4208/5579/109/3725/5997/4882/54776/783/10398/5501/5330/5594/23236/818/57172/5607/3759/387/816/801/91807/595/3761/163688/814/1827/778/146850/776/6714/3845/5534/4773/283748/93589/4775/5532/3760/2778/1956/23533/784/2773/8605/5332/4878/5021/5020/3265/5605/781/3763/5499/4893/5604/114/815/5566",90
"hsa04660","Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","73/3810","121/8645",0.000213942231828549,0.00273103184860198,0.0016670266033198,"4772/5063/5781/4790/5293/2885/5601/2353/2932/5533/2534/4794/84433/1326/919/1147/3725/5515/10298/5295/7535/27040/5609/5522/916/5335/959/3932/1432/5594/4792/926/9402/915/5521/3702/8440/5520/5529/387/5516/7409/5062/920/9020/8915/3845/10892/1437/5534/4773/5788/7410/5290/5058/4775/5532/5133/925/940/7124/5588/1739/917/998/3265/3458/5605/5600/5602/4893/5777/5604",73
"hsa04144","Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","138/3810","250/8645",0.00021815934885282,0.00273103184860198,0.0016670266033198,"147179/11267/1213/84313/55040/28964/5878/2264/163/10565/84440/5338/64750/857/2869/11059/3310/55737/6642/254122/57403/858/30011/7037/644150/10617/377/9230/3312/93661/7048/57180/4193/7879/116985/23550/51510/25978/7046/8218/9744/3579/9146/5371/8723/51699/22905/138429/2263/55048/83737/2350/3135/10015/274/273/80230/414189/8027/3560/55616/23362/30846/8853/27128/5584/119016/3949/58533/10094/50807/5868/116988/5590/131890/84552/387/84364/3799/10097/26056/3561/3303/92421/11021/408/23396/64411/23624/3305/84612/867/5869/6714/10890/10938/1212/9559/440073/10564/10254/7251/3482/8411/3107/3800/51160/51534/5867/2348/64744/1956/6643/160/2261/27131/23096/8766/3577/7852/381/7456/375/998/832/409/1601/5662/155382/3265/3133/23527/4734/10096/1173/56288/9765/3134",138
"hsa05217","Human Diseases","Cancer: specific types","hsa05217","Basal cell carcinoma","42/3810","63/8645",0.000237852795973058,0.00287122303710335,0.00175259954927517,"7481/11211/83439/650/6934/2735/8643/51176/8324/7484/6932/8321/2932/1647/80326/8326/324/2736/7157/1855/10912/51384/1643/6469/8323/7473/1499/81029/7474/8325/2737/1856/374654/6608/7855/8312/5727/2535/89780/7479/4616/7477",42
"hsa04814","Cellular Processes","Cell motility","hsa04814","Motor proteins","109/3810","193/8645",0.00030987058748785,0.00361159512313425,0.00220452396180104,"80179/7283/51174/140469/72/399687/140735/4642/9371/57576/1770/113457/4629/22989/7136/1062/55605/7134/25981/7140/23026/283446/93661/10749/140465/56171/4636/1783/3801/84516/71/1768/24137/84790/55860/7168/23303/201625/7169/146909/9585/285643/7135/89953/53904/4621/9928/79659/10376/112714/11127/8701/81930/10112/64446/90990/4542/4647/10398/22920/347688/64005/70/84617/4619/59/9493/3832/10120/84700/4430/58/4648/3834/79861/203068/3799/1778/4641/10381/3835/1639/51175/4625/7278/124602/83658/4650/1780/56992/10121/127602/374654/3800/1767/55614/80022/7170/196385/7277/347733/3833/57644/832/63971/27019/4634/3796/84376",109
"hsa05412","Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","53/3810","84/8645",0.000326515965527699,0.00367874654494541,0.00224551330678698,"55799/782/3728/3679/1756/1674/3694/83439/488/6442/6934/1495/3675/51176/1837/27092/8515/284217/6932/786/6262/3674/71/775/59285/6547/4842/3680/8082/783/3690/4000/3696/3908/1499/1605/3691/778/776/3655/89/1496/6543/2697/93589/88/3695/784/3672/781/2010/489/22801",53
"hsa04370","Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","39/3810","59/8645",0.000512858525166438,0.00559181230665342,0.00341325198412978,"5321/5743/5747/5336/5293/5582/8681/5881/842/5578/5533/5880/5579/5295/5829/5335/1432/5594/8877/6714/572/9047/3845/5534/4773/283748/5290/5532/8605/56848/25759/998/3265/5605/5600/4893/5879/5604/3315",39
"hsa05410","Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","59/3810","97/8645",0.000624157550278559,0.00622723117003174,0.00380111276650957,"55799/782/3679/1756/1674/3694/5571/488/6442/7134/3675/1837/27092/8515/3479/51422/284217/786/6262/3674/71/775/59285/7168/6547/7169/4842/7042/3680/8082/783/70/3690/4607/4000/3696/3908/7040/1605/3691/778/776/4625/3655/7273/3569/6543/93589/3695/7170/784/7124/3672/781/2010/489/4634/1636/22801",59
