"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","175/3810","331/8645",0.000643034759709839,0.00622723117003174,0.00380111276650957,"6198/7283/7481/3679/528/535/3694/1299/3993/9134/51606/1288/1297/5743/11211/836/83439/8772/3914/7148/5649/6934/5747/4242/4790/5293/2885/3675/8900/529/29110/8515/1741/8324/7484/284217/6932/3918/8321/7448/1298/22798/5933/3455/4193/2932/80326/5610/3674/4855/7187/355/890/3913/8326/324/3680/7450/1869/84441/1021/7059/537/1147/3135/7157/5515/3381/1855/5295/131873/5734/51384/50617/10319/148327/5522/5829/3955/5584/3690/1285/894/5594/9641/2308/148022/9586/896/7098/3696/63923/3659/5521/245972/5590/5520/5529/1101/5934/84552/3908/3371/5516/8323/6772/7473/7297/1499/595/81029/1740/7474/84612/8325/3691/1292/7132/23513/572/1017/3655/523/1287/3845/7060/10474/9550/10134/10379/4854/55502/2335/1856/5290/3107/533/10488/64764/4599/7855/8312/2778/1956/9114/3695/525/7124/84699/5663/1739/182/998/2535/23545/3996/3672/89780/3265/3133/5605/7479/534/6199/56288/1452/4893/7143/526/5604/7477/3134/22801/5566/84667",175
"hsa05167","Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","108/3810","194/8645",0.000676360461529508,0.00622723117003174,0.00380111276650957,"2785/4772/8678/2788/718/5743/836/83439/810/8772/440738/6934/2920/5336/6233/4790/5293/3383/51176/29110/2919/5601/6932/5155/3455/842/2353/2932/2921/3717/5533/55970/5610/91860/2247/7187/355/2791/54331/1869/7538/1021/1147/3135/3725/7157/5295/7316/5609/1237/2784/5335/1432/5594/4792/9641/148022/3055/131450/7098/6416/801/6772/7297/1499/595/163688/1827/7132/146850/6714/2793/3091/4067/643246/3845/1437/3459/5534/10379/4773/3569/9976/4277/2790/5290/3107/7311/4775/5532/23533/2783/6774/81631/84557/54205/10681/3265/3133/5605/1232/5600/59345/5602/4893/5879/5604/3134",108
"hsa04020","Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","137/3810","253/8645",0.000686866168475942,0.00622723117003174,0.00380111276650957,"2064/4772/2264/5737/5137/6869/8536/6263/2185/4915/4916/2255/7416/623/8913/773/810/488/153/887/2254/3356/5336/196883/3363/7942/444/7134/5582/5255/340156/4638/3707/5155/5578/6262/5136/100130933/886/5533/154/91860/1131/2247/490/2252/775/6547/80310/8912/80228/4842/2263/5579/148/6865/5154/491/5026/109/8822/4803/845/8817/2911/116444/291/3082/2769/155/4485/26281/2324/5330/51196/5335/5257/1910/23236/818/2903/57172/8877/147/5260/3270/816/801/293/91807/57105/5731/146/3973/163688/814/778/776/5153/56034/84876/624/5534/4773/7423/5333/6543/55283/4775/5532/2778/1956/2261/57192/2246/7852/113026/844/5332/56848/5021/777/3357/7419/7039/5979/3362/5023/3358/774/84812/489/292/5261/114/815/5566",137
"hsa04360","Organismal Systems","Development and regeneration","hsa04360","Axon guidance","102/3810","182/8645",0.000688994628976489,0.00622723117003174,0.00380111276650957,"22854/80031/85464/91653/1808/2051/2242/2047/2043/56963/56920/57556/5063/5781/5747/5336/5293/54437/84448/6585/64221/5881/5578/2932/59277/4636/5533/5364/1947/2771/2534/2045/57522/5880/1969/2042/10298/1942/5295/10398/5335/64218/6469/5594/818/54910/2049/5590/8440/84552/387/55740/10507/816/1072/6586/6387/5062/81029/57689/137970/9353/6259/7474/84612/6714/3845/91584/5534/4773/9860/10500/3897/285220/1949/6608/5290/10371/3611/5058/4775/5532/5365/2773/7852/1073/3984/2046/5727/998/9901/3265/5361/1630/55558/5921/56288/4893/1945/5879/815/6237",102
"hsa05152","Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","101/3810","180/8645",0.000690367730483992,0.00622723117003174,0.00380111276650957,"5878/535/51606/820/718/836/3313/810/8772/4790/3929/5601/4261/3606/842/929/3717/7879/1379/30835/5533/91860/3460/3115/3112/7042/22925/3111/537/11151/4802/972/3119/3656/4046/3329/3127/50617/3553/3108/54106/51561/3123/1432/5594/5868/818/3587/8877/4360/317/245972/9103/387/3113/3122/3654/816/801/6772/1263/3684/7040/3920/2215/1378/3689/163688/5869/7132/6714/572/8915/10892/3459/3552/5534/3569/8411/3109/3117/533/26253/5532/9114/64581/1051/7124/8625/56848/54205/3687/23545/3458/5600/5602/2212/2213/7096/815/596",101
"hsa05022","Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","244/3810","476/8645",0.000707375996377894,0.00622723117003174,0.00380111276650957,"5709/5691/5717/5718/125965/2890/79139/7481/2877/5705/8678/6263/1742/8851/1435/7416/7318/2891/5743/5707/10213/1770/11211/8878/836/113457/6647/9217/1346/810/9821/8772/488/440738/4747/6233/5713/4790/55062/5688/5582/25981/29110/5481/7133/7332/65018/5601/5687/8324/7484/1337/8321/2893/7415/1965/842/5578/1457/4715/2932/56171/55081/6262/5533/80326/55669/25978/5708/91860/1131/5693/6531/84516/6391/2892/775/1768/100506742/84790/55860/355/201625/4842/9627/8326/5706/30849/6392/8408/324/5579/598/89953/57679/1537/4287/2878/10376/1855/112714/5682/8701/2911/7316/291/51384/64446/11047/5704/6622/4705/5609/347688/4040/3553/84617/5330/5621/5335/2521/177/1432/5594/10120/5868/23236/53349/818/170712/7381/2903/4725/27123/10133/22926/317/6804/6311/5684/79861/627/55255/4702/203068/3799/8323/816/801/7473/4719/1499/293/5664/29796/81029/5695/6712/7474/3064/2882/163688/5630/8325/10381/9861/7132/778/1639/776/116442/5710/847/572/5714/643246/7278/3845/4041/3552/5534/4741/55967/3569/5685/1347/4706/5686/27035/10121/127602/1856/7311/3800/1767/4700/5532/1536/5683/3092/7855/1454/8312/4720/81631/84557/4716/5861/196385/7277/7326/347733/7124/5332/5663/7419/54205/1345/4711/2535/89780/3265/774/5605/10452/7479/5600/27019/5602/11273/1452/489/4893/1459/292/5879/5604/815/7477/4695/596/4731/1616/10010",244
"hsa04662","Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","52/3810","84/8645",0.000718526673465201,0.00622723117003174,0.00380111276650957,"4772/5336/4790/5293/3635/2885/974/640/5881/2353/2932/5533/1380/5880/4794/5579/11024/84433/1147/3725/5295/55024/930/5594/4792/973/7409/4067/8915/3845/10892/695/5534/4773/971/7410/933/5290/4775/5532/25780/27071/29760/3265/10859/5605/4893/5777/2213/975/5879/5604",52
"hsa04024","Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","123/3810","225/8645",0.000781761222582103,0.00660588233081877,0.00403224209542348,"84152/2890/5348/4772/1908/55811/51/6751/5338/2891/7434/1394/10411/810/4881/488/153/3355/4852/2735/196883/5443/4790/5293/117/116/478/54714/5601/482/2893/477/5881/3991/2353/51738/6262/154/91860/490/2771/2892/775/5880/1907/1813/486/491/9568/109/3725/5295/116444/148327/10398/5501/51196/480/7432/10257/5594/4792/818/2903/11149/9586/2740/387/627/5465/7409/816/801/610/1395/4886/6662/64411/8310/3973/163688/814/778/776/64091/572/84876/1080/7410/6752/2737/5290/481/5058/10488/64764/2778/2867/2773/1261/1260/84699/4878/5021/11069/5727/5020/3362/5605/64208/5602/5139/2550/489/5499/6750/5879/5604/114/815/6237/56670/5566",123
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","113/3810","205/8645",0.000841445910831169,0.006901667890991,0.0042127901172041,"2064/6198/7481/1655/11211/857/836/3316/5781/5747/5336/6194/117581/22808/5293/2885/5582/858/2017/3479/8324/7484/8321/60495/7448/5578/10818/4193/27250/3059/80326/2247/3481/4660/71/355/8326/1839/7042/5579/2318/7157/6382/7430/5295/2719/51384/9138/3082/54776/4478/5501/5829/51196/5335/3690/2549/1432/6469/5594/960/818/387/7409/8323/816/7473/7040/1499/595/81029/7474/8325/867/6714/3549/3091/3845/7078/2335/7410/2316/287/6608/5290/5058/6385/7855/3339/1956/6774/7124/7023/5727/998/2535/89780/3265/5605/7479/5600/6199/5499/4893/5777/5879/5604/815/7477/6237/7291/1975/5566",113
"hsa04910","Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","79/3810","137/8645",0.000872297557950722,0.006901667890991,0.0042127901172041,"6198/31/57521/5573/2319/8471/92579/1977/5770/2194/10580/53358/2872/5571/810/6194/5293/2885/5255/51422/5601/9322/8660/2998/3991/2932/91860/122809/10891/32/23265/6517/5295/9021/5501/5584/3099/5257/5106/5594/2308/5575/399694/1399/5590/5260/801/8835/9470/163688/5837/867/572/3845/8789/5290/10603/5105/5509/2645/5834/5577/8651/25759/5576/3265/5605/2889/6199/5602/3643/5499/3098/4893/5261/5604/5313/79660/5566",79
"hsa04371","Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","80/3810","139/8645",0.000878022838202997,0.006901667890991,0.0042127901172041,"6198/2785/7350/10672/8678/55811/6263/2788/999/9759/5571/810/440738/6194/196883/22808/1958/340156/4638/51422/5346/3991/6262/55970/91860/7046/2771/4899/6547/2791/4208/10891/8862/4842/30849/54331/109/5330/2784/59/5581/5594/23236/8877/5054/801/91807/595/163688/814/146850/2793/643246/3845/4854/2790/4089/6543/4209/100271849/10365/23533/2783/81631/2773/84557/5332/56848/10681/182/3265/5605/59345/6199/4634/4893/5604/114/6237/5566",80
"hsa04061","Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","60/3810","100/8645",0.000923357317605416,0.00709033402480087,0.00432795225431632,"6374/8764/1524/10563/1435/1235/6363/2920/146433/8809/6358/7133/2919/3606/643/6364/2921/1436/29949/6376/8795/3579/8793/6361/53833/6368/6366/3560/1236/1237/8807/6359/3587/10850/3570/6846/6360/8794/3561/6387/50604/8740/8743/7132/3569/6370/10803/3577/7852/7124/58985/6372/11009/6357/2833/6354/6352/1232/6367/4049",60
"hsa01521","Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","49/3810","79/8645",0.00095176809324546,0.00709033402480087,0.00432795225431632,"2064/6198/4763/2621/1977/53358/5336/6194/5293/2885/5582/3479/9542/5155/5578/2932/3717/2247/80310/2263/5579/598/5154/3084/5295/3082/5335/2549/5594/399694/3570/9470/6714/572/3845/56034/3569/5290/1956/2261/6774/25759/7039/3265/5605/6199/4893/5604/596",49
"hsa04625","Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","62/3810","104/8645",0.000964956701600119,0.00709033402480087,0.00432795225431632,"4772/5580/5971/5743/810/5781/5336/1959/4790/22808/5293/114548/5601/53342/4791/4193/30835/5533/91860/834/1960/1147/3725/6361/5295/4046/3553/51561/1432/5594/4792/9641/3659/387/801/6772/1263/9020/163688/6714/8915/3845/10892/5534/10379/4773/3569/5290/26253/5058/4775/5532/64581/7124/29108/3265/5600/5602/4893/602/6237/6367",62
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","187/3810","359/8645",0.00110640235310927,0.00780713020576217,0.00476548589327121,"2064/6198/672/2785/57521/2264/3679/7534/4915/2788/3694/1299/2255/9134/1435/92579/1977/7529/1288/1297/4908/3320/3914/7148/5649/5747/9623/2254/3326/6194/4804/4790/5293/2885/7532/3563/3675/4909/8515/3479/4902/2056/284217/3918/7448/1298/5155/22798/2998/3455/842/5578/8115/4193/2932/3717/1436/55970/3815/3674/51378/2247/3481/2323/2252/2791/80310/4254/6794/3913/10161/1969/3680/7450/2263/54331/1021/598/7059/5154/3164/10110/1147/8822/4803/7157/7531/5515/3381/1942/8817/5295/3560/131873/23035/10971/10319/3718/3082/148327/930/5522/26281/2324/2784/3690/5106/1285/894/5594/5618/29941/284/9586/896/3696/63923/5521/3575/5520/5529/1101/5934/3908/6446/3371/627/5516/3570/3561/595/57121/9470/9863/3691/1292/146850/2793/572/1017/3655/1287/3845/11140/7060/56034/1440/3569/2335/7423/3566/2790/5290/10488/7010/5105/64764/1956/23533/3695/2783/2261/2246/84699/10681/7039/5979/3672/3265/5605/59345/9170/6199/3643/2322/4893/7143/9180/1945/7533/6256/5879/5604/596/22801/4170/1975",187
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","54/3810","89/8645",0.00113400042109311,0.00780713020576217,0.00476548589327121,"3679/3694/1299/1288/1297/158326/9899/3914/7148/5649/3675/8515/284217/3918/7448/1298/22798/3161/3674/3913/3680/7450/375790/7059/6382/3381/131873/10319/3690/1285/960/3696/63923/1101/3908/3371/2811/1605/3691/1292/3655/1287/7060/948/2335/80144/255743/6385/3339/3695/3672/7143/22801/9900",54
"hsa04727","Organismal Systems","Nervous system","hsa04727","GABAergic synapse","54/3810","89/8645",0.00113400042109311,0.00780713020576217,0.00476548589327121,"2571/4905/2785/2788/773/54407/196883/5582/11337/57468/5578/81539/55970/2570/2771/775/2791/5579/54331/9568/109/2567/5334/6539/2554/2784/2562/2568/2557/2565/23710/778/776/6714/2793/2569/2790/6529/10243/2783/2773/2556/2563/10681/18/11345/774/3763/59345/2550/6540/2564/114/5566",54
"hsa04530","Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","95/3810","170/8645",0.00117470397113984,0.00780713020576217,0.00476548589327121,"2064/909/9181/3993/913/911/113457/5571/910/4629/5010/11346/7122/149461/100506658/2017/51422/1741/5601/912/153562/84952/9071/57180/58494/140465/3059/7454/71/84790/644672/6794/3308/24146/3725/5515/10376/7430/112714/5111/5609/10398/5522/4478/51421/5584/10094/5581/8189/154810/11149/87/5521/5590/5520/9075/84552/387/9076/23370/79861/5516/10097/91862/595/93643/1740/84612/5872/83700/50848/776/6714/23513/7278/9074/51735/1080/58538/57530/51762/79778/7277/861/4214/1739/998/3996/4734/10096/123720/5602/56288/5879/5566",95
"hsa05225","Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","94/3810","168/8645",0.0011779989363724,0.00780713020576217,0.00476548589327121,"6605/6198/6603/7481/7296/1728/53358/11211/83439/6934/5336/2949/5293/2885/5582/51176/8324/7484/6932/8321/7048/5578/2932/1647/6595/80326/7046/1029/3481/71/8326/7042/324/5579/1869/1021/598/7157/1855/10912/5295/86/51384/29117/3082/1643/4040/5335/2941/2950/2549/55274/4257/6604/5594/399694/2953/2948/8323/6599/7473/7040/1499/595/81029/7474/8325/2947/572/3845/9817/4041/4089/1856/5290/7855/8312/1956/8110/57492/25759/7039/2535/89780/3265/5605/7479/6199/1452/4893/4616/5604/7477/4780",94
"hsa05417","Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","117/3810","215/8645",0.00129364615641519,0.00833131817944566,0.00508545114659405,"4772/1548/3320/836/810/3310/5747/2920/3326/142678/4790/5293/1573/3383/114548/29110/2919/3929/6403/5601/3606/3312/1965/6648/842/5578/929/2353/2932/2921/3717/5533/91860/8795/1559/958/7187/355/834/1558/3308/1549/598/1147/3725/7157/5295/3329/4689/9138/5609/3553/5330/5335/3949/1535/959/177/1432/5594/4792/23236/9641/818/148022/22926/317/338/653361/387/6416/3654/7409/816/801/3303/5468/353376/3305/163688/8743/7132/6714/572/4067/3845/5534/4773/3569/948/27035/7410/5452/5290/4775/5532/1536/7412/6774/7124/29108/5332/4312/54205/998/3265/6352/5600/5602/6401/4893/6256/5879/815/596/10010/4780",117
"hsa05133","Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","47/3810","76/8645",0.00131446558772689,0.00833131817944566,0.00508545114659405,"6374/718/836/810/10392/722/4790/114548/5601/715/929/2353/720/91860/2771/834/716/3725/3394/3553/51561/1432/5594/148022/3659/710/387/3654/801/1072/3684/353376/3689/163688/3552/3569/712/653509/2773/1073/7124/29108/6372/727/5600/5602/713",47
"hsa05414","Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","61/3810","103/8645",0.00133103899908303,0.00833131817944566,0.00508545114659405,"55799/782/3679/1756/1674/3694/488/6442/153/196883/7134/3675/1837/27092/8515/3479/284217/786/6262/3674/71/775/59285/7168/6547/7169/4842/7042/3680/8082/109/783/70/3690/4607/4000/3696/3908/7040/1605/3691/778/776/4625/3655/7273/6543/93589/2778/3695/7170/784/7124/3672/781/2010/489/4634/114/22801/5566",61
"hsa04068","Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","75/3810","131/8645",0.00153324698008412,0.00932262384605619,0.00569054585433514,"51701/8471/92579/5571/5293/2885/1901/11337/3479/51422/5601/4303/8660/7048/10733/6648/7874/4193/1647/7046/891/8698/2290/6794/26260/7042/114907/80854/9140/6517/10110/1147/10912/5295/2911/5106/1432/894/5594/2308/5347/3575/5934/6446/1263/7040/595/9456/8743/23710/604/847/1017/3845/664/3569/4089/5290/5105/10365/1454/6789/1956/6774/11345/3265/5605/5600/5896/5602/3643/4893/4616/5604/9133",75
"hsa04380","Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","77/3810","135/8645",0.00154457673189097,0.00932262384605619,0.00569054585433514,"4772/4982/1435/5971/169200/8878/488/5336/4790/5293/2885/2354/5601/4791/7048/3455/3726/2353/1436/5533/7046/2534/3460/7042/11024/1147/3725/5295/4689/8061/9021/5609/3553/3690/1535/140885/3932/1432/5594/4792/653361/9103/6772/7297/7040/5468/2215/9020/814/6688/7132/2274/8792/695/3459/3552/5534/10379/4773/27035/5290/5532/55423/8600/7124/8651/29760/10859/3458/5600/5602/489/2212/2213/5879/5604/3727",77
"hsa05416","Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","42/3810","67/8645",0.00159709669241678,0.00947050319362931,0.00578081166599609,"1756/857/836/6442/3383/1837/284217/5881/842/71/2534/958/3115/3112/5880/4842/3111/8082/3119/1982/3135/5551/3127/3108/959/3123/1981/3113/3908/3122/595/3689/1605/4625/3109/3107/3117/940/54205/3133/5879/3134",42
"hsa04015","Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","114/3810","210/8645",0.00166136167349951,0.00968172837315234,0.00590974388395471,"2264/2255/1435/999/10411/810/10235/2254/196883/4804/22808/5293/10636/5582/3479/5155/5898/5881/5578/1436/3815/91860/3674/83660/51378/2247/71/2771/2252/80310/4254/5880/1969/2263/5579/1268/51466/1813/5154/109/8822/4803/1942/8817/5295/83593/27040/3082/26281/2324/5330/5584/51196/5335/3690/1432/5594/6494/23236/2903/284/1399/5590/84552/387/55740/7409/801/3684/1499/57121/3689/64411/54518/9863/84612/163688/8631/3397/6714/3845/7094/56034/51735/7423/7410/2357/5290/7010/25865/2778/1956/2261/2773/2246/25780/5332/11069/998/3265/5605/5600/9170/2889/5028/3643/56288/4893/5216/1945/5879/5604/114/6237",114
"hsa04340","Environmental Information Processing","Signal transduction","hsa04340","Hedgehog signaling pathway","36/3810","56/8645",0.00178121429945529,0.0102042446307777,0.00622868871888021,"8405/91653/64750/1453/2735/8643/1954/132884/2932/23291/50846/57758/2736/4036/11127/50937/894/6469/8945/595/408/3549/23432/2737/374654/6608/1454/2619/1455/1456/5727/409/1452/596/57467/5566",36
"hsa04931","Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","63/3810","108/8645",0.00189587162524259,0.0106800768221999,0.00651913751837804,"6198/6945/376497/5580/1374/92579/5770/10999/5571/5781/57761/4790/5293/51422/5601/8660/10062/2998/2932/6196/10891/32/5579/6517/5295/9021/148327/5501/8473/5106/6195/5581/4792/2308/27330/9586/5590/5465/5837/7132/1375/9945/9882/3569/948/5290/10488/5105/64764/5509/5834/6774/7124/84699/5588/51085/6513/6199/5602/3643/5499/79660/6197",63
"hsa04668","Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","66/3810","114/8645",0.00195122726496099,0.0108117182878167,0.00659949169857385,"6374/1435/5743/836/8772/3976/2920/8809/4790/5293/330/3383/7133/2919/5601/7185/3726/6364/2353/2921/6376/7128/7187/355/3600/153090/1326/83737/1147/3725/5295/9021/148327/5609/3553/1432/5594/4792/9586/3659/6416/192111/9020/7132/8837/1437/3569/5290/10488/8986/64764/7412/1051/7124/84699/6372/182/6352/5600/10059/5602/6401/5604/602/257397/4049",66
"hsa04261","Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","86/3810","154/8645",0.00201662707616844,0.0109267452531764,0.00666970435883707,"55799/782/3753/10411/810/488/153/196883/6330/7134/27092/478/482/477/5578/786/6262/154/91860/490/2771/775/59285/7168/6547/7169/148/486/491/109/6332/5515/148327/783/5522/70/5501/5330/480/1432/5594/23236/818/11149/9586/5521/186/147/5520/5529/3784/5516/816/801/6331/146/163688/778/146850/776/4625/64091/6543/93589/481/10488/64764/2778/23533/7170/784/2773/84699/5332/11069/6324/781/64208/5600/489/4634/5499/114/815/596/5566",86
"hsa04728","Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","75/3810","132/8645",0.00203664186671632,0.0109267452531764,0.00666970435883707,"84152/2785/2890/2788/2891/773/810/5582/6570/5601/2893/5578/2353/2932/5533/55970/91860/6531/2771/2892/775/2791/5579/54331/1813/9575/5515/4129/148327/5522/5501/5330/7054/2784/1312/1432/23236/818/2903/9586/5521/5520/5529/5516/1644/3799/816/801/408/163688/776/2793/2931/2790/3800/5532/3760/10488/64764/2778/2783/2773/84699/5332/10681/409/774/3763/1815/5600/59345/5602/5499/815/5566",75
"hsa04713","Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","57/3810","97/8645",0.00242407361741384,0.0126360969176054,0.00771309559592233,"2785/2890/5187/55811/6263/2788/2891/8913/810/196883/117/5582/116/2977/2893/5578/2353/6262/55970/91860/2771/2892/775/2791/8912/4842/5579/54331/109/5330/2784/5594/23236/818/2903/816/801/163688/8864/776/2793/9722/2790/3760/2778/2783/5593/2773/5592/5332/10681/3763/59345/4544/114/815/5566",57
"hsa05164","Human Diseases","Infectious disease: viral","hsa05164","Influenza A","94/3810","171/8645",0.00247321554691558,0.0126360969176054,0.00771309559592233,"10241/3838/7416/8480/836/8772/3836/4790/5293/3383/90865/114548/29110/56649/4261/9230/3606/1965/3455/842/5578/3717/5610/8795/71/3460/7187/355/834/5371/103/3115/4940/3112/5579/1021/3111/402569/7514/3119/1147/7177/5295/291/3127/9021/3553/3108/64499/3123/5594/4792/9641/148022/10482/896/7098/56000/2224/317/3113/3122/4938/6772/7297/293/23430/4939/8743/7132/10898/3459/3552/79671/10379/3569/3109/5290/3117/4599/7706/6041/8766/7124/29108/5644/54205/3458/6352/5605/292/5611/5604/91543",94
