"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04917","Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","43/3810","70/8645",0.00250478844224723,0.0126360969176054,0.00771309559592233,"30837/53358/4790/5293/2885/5601/1447/9655/2353/2932/3717/122809/5295/9021/7054/1432/894/5594/2001/5618/3659/399694/6776/6772/595/8835/3973/6714/8792/3845/5290/2645/6774/8600/8651/25759/3265/5605/5600/5602/4893/1154/5604",43
"hsa04920","Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","43/3810","70/8645",0.00250478844224723,0.0126360969176054,0.00771309559592233,"1374/8471/92579/5571/5781/4852/5443/2181/4790/3953/7133/51422/5601/8660/3717/3952/51703/2180/9370/51094/6794/10891/4794/32/6517/1147/9021/2182/79602/5106/4792/5465/7132/23205/1375/948/5105/6774/7124/5588/6513/5602/6256",43
"hsa05226","Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","83/3810","149/8645",0.00263041181349218,0.0129332743203883,0.00789449320085988,"2064/6198/3728/7481/2255/9134/999/5915/53358/11211/83439/6934/1015/2254/5293/1495/2885/51176/8324/7484/6932/8321/5243/7048/2932/1647/80326/7046/2247/2252/8326/7042/324/2263/1869/8822/7157/1855/8817/10912/5295/51384/3082/1643/4040/26281/2549/6469/5594/399694/8323/7473/7040/1499/595/81029/7474/8325/1017/3845/4041/1496/4089/1856/5290/7855/8312/1956/2246/25759/2535/89780/3265/5605/7479/6199/1452/4893/6256/4616/5604/7477/596",83
"hsa05224","Human Diseases","Cancer: specific types","hsa05224","Breast cancer","82/3810","147/8645",0.00264022463936921,0.0129332743203883,0.00789449320085988,"2064/6198/672/7481/8202/2255/53358/11211/83439/6934/2254/5293/2885/51176/3479/28514/8324/7484/6932/8321/4791/675/2353/2932/1647/80326/3815/2247/2252/4855/8326/324/1869/1021/8822/3725/7157/10683/1855/8817/10912/5295/51384/1643/4040/26281/2324/5594/399694/8323/7473/1499/595/81029/7474/8325/3845/4041/5241/4854/3714/1856/5290/7855/8312/1956/2246/8600/8648/25759/182/2535/89780/3265/5605/7479/6199/1452/4893/4616/5604/7477",82
"hsa04930","Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","30/3810","46/8645",0.00305538465900317,0.0146454413413045,0.00893960293645496,"5580/8471/8913/773/5293/5601/8660/122809/775/9370/6517/5295/9021/3099/5581/5594/5590/8835/776/5290/3767/2645/7124/8651/777/774/5602/3643/3098/5313",30
"hsa04610","Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","51/3810","86/8645",0.00307640927583616,0.0146454413413045,0.00893960293645496,"2266/5648/2244/5055/2152/5265/718/623/2159/730/5627/722/715/2243/2/7448/1379/720/966/1380/5270/10878/7450/716/733/2157/7035/729/710/5054/7056/3684/10747/1378/732/3689/11326/1361/5104/624/712/629/81494/3426/3078/1191/1675/3687/727/713/2162",51
"hsa04540","Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","52/3810","88/8645",0.00312900999089399,0.0146889635683634,0.0089661689797547,"113457/153/1453/3356/196883/2885/5582/2977/5155/5578/2771/84790/80310/5579/1813/5154/109/983/10376/112714/2911/347688/84617/5330/5594/23236/5607/79861/203068/10381/6714/7278/3845/56034/2697/2778/1956/10746/5593/2773/5592/7277/347733/5332/3357/3358/3265/5605/4893/5604/114/5566",52
"hsa05321","Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","40/3810","65/8645",0.00333793827388433,0.0154551114599028,0.00943382698891605,"4772/8809/4790/3606/3460/6778/3115/3112/7042/3111/3119/3725/3127/3553/3108/3594/3595/51561/8807/3123/4094/3113/3122/6772/3561/7040/6095/30009/3459/3552/6775/3569/3566/3109/3117/7100/6774/149233/7124/3458",40
"hsa05031","Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","42/3810","69/8645",0.00356691045665866,0.0162921045182517,0.00994472901145232,"84152/2890/23237/2891/810/5582/2354/6570/2893/5578/2353/5533/91860/6531/2892/775/5579/3725/116444/4129/148327/5501/7054/818/2903/9586/6804/1644/816/801/163688/814/776/5534/5532/10488/64764/2778/84699/5499/815/5566",42
"hsa04216","Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","27/3810","41/8645",0.00398404952603091,0.0179174835109118,0.0109368631832411,"440738/2181/7037/51703/2180/7018/7157/2730/2182/5621/55240/23516/112483/30061/246/94033/643246/6520/2937/1536/81631/84557/7419/5093/2729/8031/64116",27
"hsa03010","Genetic Information Processing","Translation","hsa03010","Ribosome","91/3810","167/8645",0.00402878327464289,0.0179174835109118,0.0109368631832411,"6143/9349/124995/51264/51081/6125/6135/6191/6136/6122/6154/6230/28998/6203/6160/6194/6233/4736/6202/6176/6206/6147/6124/6146/6144/6139/6164/9045/6157/6152/6207/6134/6182/23521/6161/6141/6181/6223/6137/6138/6218/6165/29088/6158/25873/6205/51121/6142/6222/6228/79590/6128/6188/6159/51021/6130/6201/6235/6175/6168/51065/64979/6209/6210/6167/54460/6189/6171/6204/55173/6187/6169/11224/7311/64981/64968/6208/63875/6229/9801/3921/51318/6183/2197/54948/6232/6155/51073/11222/219927/6217",91
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","108/3810","202/8645",0.00415106379136607,0.018221552746516,0.0111224675749521,"5709/5717/5718/5705/9134/5971/5707/10213/836/8772/5336/5713/4790/5293/3383/8900/29110/5601/4791/7431/3455/842/7874/4193/1647/2208/1380/5708/7128/5610/958/7187/355/890/3115/864/4940/3112/5706/4794/1869/1021/3111/919/3119/1147/3135/3725/7157/10912/5295/3127/11047/5704/3718/930/5609/1643/3108/916/3123/1432/894/4792/960/9641/896/915/79685/317/3113/6416/3122/3654/4938/6772/9541/7297/595/4939/9020/9861/5710/1017/5714/4067/695/10379/3569/377841/3109/5290/3107/3117/6774/7124/54205/917/29760/3133/4734/5600/6892/5602/4616/5879/3134/596",108
"hsa04666","Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","56/3810","97/8645",0.00449998522668405,0.0194999359822976,0.0119027949315799,"6198/5321/5580/5338/2934/5336/5293/3635/10163/5582/8681/57180/5578/7454/5880/5579/274/273/5295/27040/55616/8853/5335/10094/50807/5581/5594/8877/3055/1399/653361/7409/4082/10097/1072/8398/2215/23396/1793/4067/5788/7410/283748/5290/5058/8605/1073/3984/56848/998/10096/6199/2212/2213/5879/5604",56
"hsa05223","Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","43/3810","72/8645",0.0052731305579102,0.0225609889692867,0.0137712670133298,"2064/5915/2272/11186/5336/5293/2885/5582/842/5578/1647/1029/5579/1869/1021/7157/10912/5295/83593/3718/3082/1643/5335/5594/238/6776/3799/595/572/3845/5290/3800/6789/1956/6774/7039/5979/3265/5605/4893/6256/4616/5604",43
"hsa05210","Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","50/3810","86/8645",0.00583492000901488,0.0246525370380879,0.0150479516021963,"6198/836/83439/6934/5293/2885/51176/5601/6932/5898/7048/5881/842/2353/2932/1647/7046/5880/7042/324/3725/7157/10912/5295/1643/5594/387/7040/1499/595/572/3845/332/4089/5290/8312/1956/54205/7039/27113/3265/5605/1630/6199/5602/4893/4616/5879/5604/596",50
"hsa05146","Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","58/3810","102/8645",0.00608215127586638,0.0253798411264548,0.0154918992861574,"5878/909/913/1288/911/836/910/3914/5747/2920/4790/5293/5582/2919/912/284217/3918/22798/5578/929/1511/2921/7879/3913/7042/5579/5052/5272/733/5295/10319/2769/3553/5330/6318/1285/5868/23236/87/3908/3684/7040/7850/732/3689/5273/5869/1287/1437/3569/2335/5290/2778/7124/5332/3458/5566/3315",58
"hsa05221","Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","40/3810","67/8645",0.0070558922593741,0.0290840437032737,0.0177529509991954,"5914/6198/3728/83439/6934/4790/5293/2885/51176/8900/6932/7704/5292/929/1436/3815/890/5371/1147/5295/5594/597/6776/3684/595/6688/8864/572/3845/1437/5290/6774/861/3265/5605/1053/6199/2322/4893/5604",40
"hsa04550","Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","78/3810","143/8645",0.00714951857416427,0.0291149069646689,0.0177717899877767,"7703/7481/2264/3626/5462/11211/3976/1749/5293/2885/463/5460/3479/3400/8324/7484/6932/8321/10637/130399/2932/3717/80326/3198/2247/9314/3977/5080/56916/7044/3175/8326/4090/324/2263/6498/1855/5295/51384/3718/3720/1432/5594/4211/8323/5013/7473/1499/81029/7474/8325/84759/3398/91/3397/3845/4089/1856/5290/3624/4086/7855/8312/6657/2261/6774/3231/84333/2535/89780/3265/5605/7479/2103/5600/4893/5604/7477",78
"hsa03050","Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","29/3810","46/8645",0.00728984716984679,0.02917384714259,0.0178077671751717,"5709/5691/5717/10197/5718/5705/5707/10213/5713/5688/5687/51371/5708/5693/9491/5706/5682/11047/5704/5684/5695/5699/9861/5710/5714/5685/5686/5683/3458",29
"hsa05135","Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","75/3810","137/8645",0.0073366183642608,0.02917384714259,0.0178077671751717,"147179/4772/2185/63916/5747/4790/5293/10163/114548/29110/644150/5601/10458/3606/5881/57180/2353/2932/7454/71/6196/834/5880/1147/3725/4210/5295/7535/27040/9138/5609/3553/5829/9844/5335/10094/3932/6195/1432/5594/4792/926/27330/148022/1399/387/6416/3654/7409/10097/23396/920/1793/6714/4773/3569/2335/7410/5290/4775/925/3984/7124/29108/391/7456/998/5605/5600/10096/5602/2212/5879/5604/6197",75
"hsa03320","Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","44/3810","75/8645",0.00752868507436736,0.0292627428024578,0.0178620292409895,"7350/6319/51/376497/1374/10580/3157/10999/10873/2181/1581/729359/5346/10062/364/9415/4023/51703/2180/4199/9370/2167/7316/2172/2182/30/5106/1593/5465/51129/5468/8310/79966/23205/1375/948/3611/5105/4312/1622/6342/116519/5360/6256",44
"hsa04926","Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","71/3810","129/8645",0.00756543581590458,0.0292627428024578,0.0178620292409895,"2785/2788/1288/53358/196883/4790/5293/2885/5601/7048/5578/2353/55970/7046/2771/2791/4842/54331/6019/6013/109/3725/5295/148327/5609/2769/5330/2784/59/1910/1285/1432/5594/4792/23236/9586/399694/5590/6416/7040/408/4322/6714/2793/1287/3845/7423/2790/5290/10488/64764/2778/1956/2783/2773/84699/5332/51289/4312/10681/25759/409/3265/5605/5600/59345/5602/4893/5604/114/5566",71
"hsa05140","Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","45/3810","77/8645",0.00761870226809553,0.0292627428024578,0.0178620292409895,"1915/718/5743/4790/2353/3717/1379/3460/3115/3112/7042/5579/3111/3119/3725/3127/4689/3553/3108/1535/3123/1432/5594/4792/653361/9103/3113/3122/3654/6772/3684/7040/2215/1378/3689/3459/3552/3109/3117/1536/7124/3458/5600/2212/5777",45
"hsa04670","Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","64/3810","115/8645",0.00788201694304668,0.0295991270178842,0.0180673587527415,"2185/10411/5781/83692/5010/5747/5336/7122/149461/100506658/5293/1495/5582/3383/9071/5578/58494/7294/4636/71/2771/644672/5880/24146/5579/7430/5295/83593/4689/10398/4478/5829/5335/1535/1432/6494/1003/87/5175/3702/653361/9075/387/9076/7409/3684/1499/6387/3689/83700/50848/90952/9074/1496/7410/5290/1536/7412/2773/7852/11069/998/5600/5879",64
"hsa05145","Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","62/3810","111/8645",0.00794561154617351,0.0295991270178842,0.0180673587527415,"240/836/3914/3310/4790/330/5601/284217/3918/4261/3312/22798/842/3717/2771/3460/958/3115/3913/3112/7042/598/3111/3119/1147/3127/10319/3108/3949/959/3123/1432/345611/5594/4792/3587/3113/3908/3122/3654/6772/7297/3303/7040/3305/7132/146850/572/3655/3459/3109/3117/23533/6774/2773/7124/8651/54205/3458/5600/5602/596",62
"hsa05144","Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","31/3810","50/8645",0.0079689957355842,0.0295991270178842,0.0180673587527415,"2995/3383/6403/3606/1379/958/7042/7059/6382/3043/3082/3553/54106/959/3820/5175/22914/7040/1378/3689/7060/1440/3569/948/7412/4035/7124/3458/6401/975/3040",31
"hsa04218","Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","84/3810","156/8645",0.00839357161212085,0.0308372522271396,0.0188231125397676,"4772/132660/9134/7416/678/8878/810/4790/22808/5293/8900/5481/5933/7048/4193/1647/23291/5533/5810/91860/7046/1029/891/890/677/7042/1869/1021/983/3135/7157/10912/5295/291/83593/59341/2113/4683/1875/5501/1432/894/5594/2308/10111/896/8945/5934/3486/5054/801/7040/293/595/163688/776/1017/3845/4605/3552/28996/5534/4773/3569/3805/5290/3107/4775/5532/91750/7419/3265/3133/5605/5600/5499/4893/292/4616/5604/3134/6237/286826/9133",84
"hsa05216","Human Diseases","Cancer: specific types","hsa05216","Thyroid cancer","24/3810","37/8645",0.00861813126563844,0.0313218104062989,0.0191188876973982,"999/83439/6934/51176/6932/1647/7157/10912/1643/5594/5468/1499/595/3845/7170/5979/3265/8030/5605/4893/6256/4616/5604/8031",24
"hsa04650","Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","72/3810","132/8645",0.00950271796809909,0.0341693475874201,0.0208570293588737,"4772/2185/53358/836/5781/5336/5293/2885/5582/3383/3455/5881/5578/7462/5533/8795/2534/3460/259197/355/10870/51744/5880/5579/3384/919/3135/5295/7535/5551/27040/962/117157/5335/3932/5594/6452/399694/3811/22914/7409/2215/3689/8743/3845/1437/3812/3459/5534/4773/7410/4277/5290/3107/5058/5532/4068/3809/7124/9437/25759/3002/3265/3458/3133/5605/353091/4893/5777/5879/5604/80328",72
"hsa04022","Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","89/3810","167/8645",0.00972304531119914,0.0345935717387927,0.0211159765207206,"4772/10672/3779/6722/7416/8471/810/4881/488/153/196883/340156/4638/478/482/2977/8660/477/5138/152/5533/154/151/91860/490/2771/775/6547/4208/148/486/491/109/150/5997/291/4882/148327/10398/9569/155/5501/5330/480/1910/5581/5594/23236/9586/147/387/801/293/91807/146/163688/778/146850/776/4625/572/624/5534/4773/6543/4209/481/4775/100271849/5532/10488/64764/23533/5593/2773/5592/84699/5332/4878/7419/5605/5139/3643/489/5499/292/3764/5604/114",89
"hsa04935","Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","66/3810","120/8645",0.00998604070404199,0.0351591849788145,0.0214612278288622,"55811/6751/8471/53358/5747/2691/5336/196883/5293/2885/5582/3479/5601/8660/3726/5578/2353/2932/3717/51738/2771/775/5579/3483/109/5295/9021/148327/5330/5335/1432/5594/23236/9586/399694/1399/6776/6416/3486/6772/8835/778/776/3845/6753/6752/5290/10488/64764/2778/6774/2773/84699/5332/4214/8651/25759/3265/5605/5600/5602/4893/6750/5604/114/5566",66
"hsa04721","Organismal Systems","Nervous system","hsa04721","Synaptic vesicle cycle","45/3810","78/8645",0.0104251606907837,0.0360993219420343,0.0220350890708151,"1213/4905/163/528/535/112755/51606/773/6844/6570/529/6809/6531/8218/339302/22999/23025/50617/6539/6512/6530/245972/6804/6505/1212/523/5864/9550/6536/6529/533/9114/160/525/6511/57030/23545/594855/774/10815/1173/534/6540/526/6532",45
"hsa01523","Human Diseases","Drug resistance: antineoplastic","hsa01523","Antifolate resistance","20/3810","30/8645",0.0104666673086372,0.0360993219420343,0.0220350890708151,"1244/8714/10057/4790/113235/1719/4524/2356/6573/8836/2350/1147/9429/3553/471/10257/4363/3569/2348/7124",20
"hsa04915","Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","74/3810","137/8645",0.0116651662302356,0.0398265271294913,0.0243101816175033,"5914/3861/8202/5580/3858/53358/3320/54474/9166/3859/192666/810/3880/3310/3326/196883/5443/3872/8688/5293/2885/3868/3883/3312/2353/91860/2771/1839/9568/109/3725/3875/5295/2911/2288/148327/5330/10499/5594/23236/9586/399694/801/3303/3881/3305/163688/6714/3845/5241/5290/3760/10488/64764/2778/1956/2773/8648/84699/5332/25759/7039/8689/3265/5605/3886/3763/125115/2550/4893/5604/114/596/5566",74
"hsa04630","Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","88/3810","166/8645",0.0120347551891603,0.0406774725393618,0.0248296001797413,"30837/85480/1438/5781/3976/1439/5293/2885/3953/3563/9466/2056/5292/116379/5155/3455/9655/3717/29949/2273/122809/3952/3977/3460/6778/4352/3590/3600/598/5154/3597/3601/53833/5295/8027/3560/9021/3718/338376/2670/3594/3595/3568/51561/894/5618/3587/896/5771/3575/6776/3570/3589/6772/7297/3561/595/8835/316/50604/1437/3459/1440/10379/6775/1270/3569/10254/3566/5290/246778/1489/9063/1956/6774/149233/58985/8651/11009/3265/3598/3458/23529/9180/5777/1154/596/4170",88
"hsa04919","Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","66/3810","121/8645",0.0126546644161898,0.042349272996754,0.0258500700945618,"5469/9862/7067/9969/6567/8202/488/5336/5293/2648/5582/478/482/477/842/5578/4193/2932/71/4855/5579/486/9282/7157/5295/5330/10499/51196/5335/480/3690/5594/23236/2308/53919/6772/1499/595/1827/4625/6714/572/3091/3845/9882/4854/5333/5290/481/113026/8648/5332/5208/6513/1734/3265/90390/5605/84812/489/4893/10231/6256/10025/5604/5566",66
"hsa04810","Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","118/3810","229/8645",0.0129020245505894,0.0425773115936805,0.0259892652518262,"8396/28964/85464/2264/3679/10672/79837/3694/2255/89846/623/730/2934/5063/4629/5747/2254/22808/5293/10163/3675/340156/4638/8515/10458/5155/5881/57180/4636/55970/1131/3674/2247/4660/71/2252/80310/5880/324/3680/2263/5154/50649/8822/81624/10298/7430/8817/733/5295/9138/54776/10398/4478/5501/26281/5829/729/3690/10094/5594/128239/3696/87/1399/387/55740/7409/10097/1072/3684/6387/91807/5062/57121/23396/732/3689/3645/1793/3691/6714/3655/3845/56034/624/2335/7410/5290/5058/10152/10787/1956/3695/2261/2246/7852/1073/3984/3071/3687/998/727/3672/3265/5605/1729/10096/9170/221178/9459/5499/4893/5216/5879/5604/22801/6237",118
"hsa04726","Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","63/3810","115/8645",0.0129936215886967,0.0425773115936805,0.0259892652518262,"7166/2785/5321/2788/240/5743/836/773/10411/3355/3356/3363/1573/5582/6570/8681/260293/5578/55970/2771/1559/775/5742/2791/1558/5579/54331/4129/5330/2784/2562/5594/23236/1644/3751/247/246/778/1843/3781/776/2793/3845/2790/283748/3760/2778/2783/2773/8605/5332/3357/10681/3362/3358/3265/774/3763/59345/4893/6532/5604/5566",63
"hsa04725","Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","62/3810","113/8645",0.013100711259594,0.0425773115936805,0.0259892652518262,"2785/2788/56479/3768/773/196883/5293/5582/5578/2353/3717/55970/1131/2771/2534/775/2791/5579/54331/109/5295/9132/148327/5330/2784/5594/23236/818/9586/3759/3786/3784/816/3761/814/778/146850/776/2793/3845/1143/2790/5290/3760/10488/64764/23533/2783/2773/84699/5332/10681/3265/774/3763/59345/4893/5604/114/815/596/5566",62
"hsa05340","Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","24/3810","38/8645",0.013725234369176,0.0441821830169666,0.0269688815675038,"4261/23495/115650/958/7535/3718/930/916/959/3932/926/915/3575/973/3561/920/7374/695/84876/5788/925/8625/29760/5896",24
"hsa05214","Human Diseases","Cancer: specific types","hsa05214","Glioma","43/3810","75/8645",0.0139588603550285,0.044375593346948,0.027086939570233,"8536/53358/810/5336/5293/2885/5582/3479/5155/5578/4193/1647/91860/1029/5579/1869/1021/5154/7157/10912/5295/1643/5335/5594/818/57172/399694/816/801/595/163688/814/3845/5290/1956/25759/7039/3265/5605/4893/4616/5604/815",43
"hsa04012","Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","48/3810","85/8645",0.0140478949352764,0.044375593346948,0.027086939570233,"2064/6198/53358/5063/5747/5336/5293/2885/5582/9542/5601/10718/5578/2932/1839/5579/3725/3084/10298/5295/5609/5335/2549/5594/818/399694/1399/8440/6776/6416/816/5062/867/6714/572/3845/5290/5058/1956/25759/7039/3265/5605/6199/5602/4893/5604/815",48
"hsa05332","Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","26/3810","42/8645",0.0149675144593607,0.0468427767339253,0.028592912612424,"355/3115/3112/3111/3119/3135/5551/3127/3553/3108/3123/3811/3113/3122/3812/3552/3569/3109/3107/3117/940/7124/3002/3458/3133/3134",26
"hsa05132","Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","127/3810","249/8645",0.0152068581527678,0.0471552115195919,0.0287836233504828,"5878/140735/63916/65082/3320/836/113457/83439/5063/8772/6934/10392/3836/3326/4790/5293/330/114548/51176/5601/55770/23207/6932/3606/27072/5898/57180/929/2353/7879/57381/4636/1783/8795/84516/71/10640/84790/55860/834/257364/2318/23265/89953/1147/55207/29109/3725/79659/10376/112714/64746/5609/10398/347688/3553/84617/27128/54106/9844/10094/1432/5594/4792/10120/5868/7295/3839/5420/6188/51209/387/79861/6416/203068/3654/3799/10097/1499/1778/83547/8743/10381/5869/7132/1639/5288/7278/1434/83658/5788/3569/1780/10121/2316/26263/5290/3800/5058/3840/5287/10787/112574/7100/7277/347733/7124/29108/391/6500/54205/375/3071/998/8677/3265/9842/5605/5600/10096/5602/5216/5879/5604/257397/596/6237",127
"hsa04962","Organismal Systems","Excretory system","hsa04962","Vasopressin-regulated water reabsorption","27/3810","44/8645",0.0155011804315502,0.0476308998714906,0.0290739843500846,"4905/5878/140735/554/6844/396/361/9230/1783/84516/109/79659/148327/5868/9586/1778/397/5869/1639/1780/10488/64764/2778/8766/84699/6810/5566",27
"hsa04934","Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","82/3810","155/8645",0.0159376266804171,0.0485307911529819,0.0296232795577217,"7481/9134/8913/5087/11211/83439/1394/6770/6934/196883/5443/51176/8324/7484/6932/8321/2932/80326/1029/2771/775/8912/8326/79798/324/1869/1021/3164/109/1855/51384/148327/2516/5330/3949/57552/1583/5594/23236/818/196/9586/54554/56246/8323/816/1395/3777/7473/1499/595/81029/7474/8325/1589/5929/778/776/1017/84876/1856/10488/64764/7855/8312/2778/50940/1956/3739/2773/84699/5332/1031/2535/89780/5605/7479/5604/114/815/7477/5566",82
